Reaction,Isozyme,Protein,Stoichiometry,KcatReverse,KcatForward
27626,B,PN96_RS18410,1,0.4198987156803094,9.5028171537794
22608,A,PN96_RS02545,2,3.390863743269348,5.687328137506812
15101,A,PN96_RS14070,2,1.4833046887724153,2.305486714753095
26522,A,PN96_RS05435,1,0.9237748078484621,5.243588753202404
33803,A,PN96_RS07900,2,1.0574377972713533,0.7809991792154815
18585,A,PN96_RS12250,2,28.25927707266841,13.210853677617125
18617,A,PN96_RS12890,1,0.06959713580597823,0.1079185609161328
24400,A,PN96_RS02310,6,6.448032809755485,0.41026706895517134
28582,A,PN96_RS10630,4,0.22233563918327157,0.05733433985027956
41872,B,PN96_RS17995,4,0.2265572282556904,0.7465327637633418
41872,A,PN96_RS03555,4,0.3670205617889967,4.087268356532917
21968,A,PN96_RS15070,1,0.02858895795374632,0.005448595593299723
23536,A,PN96_RS09435,1,1.3566021381105253,0.47231062797077816
27678,A,PN96_RS10630,4,1.4544955057645579,0.06709986732480681
41852,B,PN96_RS03565,2,0.029328052161536094,0.03571023846324912
27690,A,PN96_RS10630,4,1.107398713981404,0.10748481198443882
18253,A,PN96_RS14960,8,1.0400759966746893,0.7900732325755406
13517,A,PN96_RS03580,2,0.0543383023165234,0.01971408140586366
16429,A,PN96_RS11365,1,0.10928698051922334,0.12388341176139993
15985,B,PN96_RS23110,1,2.97819416672561,0.28334464964172257
15985,B,PN96_RS05940,1,2.97819416672561,0.28334464964172257
15985,B,PN96_RS05935,1,2.97819416672561,0.28334464964172257
15985,A,PN96_RS05940,1,0.17092278521564022,1.0053508896481336
15985,A,PN96_RS05945,1,0.17092278521564022,1.0053508896481336
15985,A,PN96_RS05935,1,0.17092278521564022,1.0053508896481336
15985,C,PN96_RS05940,1,1.454384715304853,2.3008302204975895
15985,C,PN96_RS21445,1,1.454384715304853,2.3008302204975895
15985,C,PN96_RS05935,1,1.454384715304853,2.3008302204975895
23776,A,PN96_RS00270,2,0.15785630359649347,0.20415255491296433
23776,D,PN96_RS11205,4,1.218030816944313,0.41827491578314896
23776,E,PN96_RS14980,4,0.045931523637022596,1.178240552200422
12641,B,PN96_RS00950,4,1.1453770771115837,0.20618181852977863
12641,A,PN96_RS00150,4,4.950671560416882,0.9850372498276453
12821,A,PN96_RS01770,1,0.4002018688456223,1.864162374565192
13717,A,PN96_RS02330,2,0.9995471642293378,0.07338354830963564
14801,A,PN96_RS00920,1,151.5904885148044,10.21493797634044
13897,B,PN96_RS10960,1,0.3323338053612984,0.1200023710578577
13897,A,PN96_RS10930,2,0.05557799706300357,3.0684375542526947
nqr,A,PN96_RS02160,1,22.065251439096183,11.622170898369667
nqr,A,PN96_RS02150,1,22.065251439096183,11.622170898369667
nqr,A,PN96_RS02155,1,22.065251439096183,11.622170898369667
nqr,A,PN96_RS02170,1,22.065251439096183,11.622170898369667
nqr,A,PN96_RS02165,1,22.065251439096183,11.622170898369667
nqr,A,PN96_RS02145,1,22.065251439096183,11.622170898369667
21256,A,PN96_RS08425,1,0.22284825663759425,2.5526013335162645
17089,B,PN96_RS16775,3,1.732161805050932,2.1115143214250667
17089,A,PN96_RS13230,3,5.845289108955362,2.2067535073990374
10508,B,PN96_RS18410,1,1.2639792067112368,0.6038367913116668
12605,A,PN96_RS10220,2,1.5735475687447567,0.5211222396239258
17817,A,PN96_RS02350,3,4.59269256661003,0.2635628150711042
21540,A,PN96_RS03960,1,1.2247217179390624,1.1917307795399275
19513,A,PN96_RS00585,3,4.587058116841869,2.33763948047409
40523,A,PN96_RS09415,1,12.96723880946577,21.33660130481516
40523,A,PN96_RS09405,1,12.96723880946577,21.33660130481516
40523,A,PN96_RS09400,1,12.96723880946577,21.33660130481516
40523,A,PN96_RS09410,1,12.96723880946577,21.33660130481516
15469,A,PN96_RS07880,1,0.8741337320161814,0.09247917953530806
27658,A,PN96_RS01780,1,0.17751629421437862,0.2643644153228836
21432,A,PN96_RS11855,2,45.549761888637775,18.645913292936456
12813,A,PN96_RS14285,1,0.9171943036967337,0.4213906379413233
11724,A,PN96_RS15175,2,0.012519286786272992,0.006605752011659289
41812,B,PN96_RS07515,1,2.244431310292211,0.060473249860340125
41812,A,PN96_RS20950,1,3.923632450757946,0.7360914167679968
15901,A,PN96_RS14635,1,25.168226941112206,16.92212007537967
41928,B,PN96_RS20950,1,0.7305756699189777,4.362758290806072
41928,A,PN96_RS07515,1,1.633763425667824,0.7173167323917088
22992,B,PN96_RS16020,1,1.0489993931185735,0.5153382580956615
22992,C,PN96_RS19315,1,0.3696350197437841,0.048883345929573815
22992,D,PN96_RS21755,1,0.1280892093690958,0.0166803802519949
28438,A,PN96_RS12525,1,0.624966216659271,3.711837218600873
31747,A,PN96_RS18905,1,0.773430537437648,1.933714799580621
18049,A,PN96_RS14820,2,0.028311482703215665,0.08203743061776358
18133,B,PN96_RS12490,1,0.11182082980895114,0.05825117009697107
18133,B,PN96_RS11990,1,0.11182082980895114,0.05825117009697107
18133,A,PN96_RS12475,1,0.09985490595353447,0.641271170604226
18133,A,PN96_RS11985,1,0.09985490595353447,0.641271170604226
21732,A,PN96_RS03975,2,0.07568685481194107,0.49200730450931396
21732,A,PN96_RS03970,2,0.07568685481194107,0.49200730450931396
13925,A,PN96_RS02360,3,0.0376123074868583,0.052605533307341454
20700,A,PN96_RS08610,1,0.09767182529950058,0.290416051742971
16249,A,PN96_RS03075,2,9.996867884661636,130.75937792269139
11064,B,PN96_RS12220,2,1.386671549312739,0.10431127303404007
11064,A,PN96_RS11905,4,1.574063048028562,0.29490433366534036
H_ATPsynthase,A,PN96_RS13585,1,12.168867429355394,20.38135436172454
H_ATPsynthase,A,PN96_RS13570,1,12.168867429355394,20.38135436172454
H_ATPsynthase,A,PN96_RS13590,3,12.168867429355394,20.38135436172454
H_ATPsynthase,A,PN96_RS13600,1,12.168867429355394,20.38135436172454
H_ATPsynthase,A,PN96_RS13605,1,12.168867429355394,20.38135436172454
H_ATPsynthase,A,PN96_RS13580,2,12.168867429355394,20.38135436172454
H_ATPsynthase,A,PN96_RS13575,10,12.168867429355394,20.38135436172454
H_ATPsynthase,A,PN96_RS13565,1,12.168867429355394,20.38135436172454
H_ATPsynthase,A,PN96_RS13595,1,12.168867429355394,20.38135436172454
16169,C,PN96_RS12930,12,0.08453645207820117,3.2136643150094697
18793,A,PN96_RS01780,1,0.7592754854481136,0.10974338908445193
27710,B,PN96_RS21125,1,0.062230351601677725,0.017599575010652384
27710,A,PN96_RS07930,1,1.219225351119242,0.0658393864399786
24825,A,PN96_RS11010,2,4.407628367547818,1.2306881247559216
