Protein,MassFraction
PN96_RS02955,0.00011883105756646088
PN96_RS14395,0.002587837157398121
PN96_RS03580,1.8521387678803086e-5
PN96_RS00590,2.203200686174618e-5
PN96_RS12490,0.0008468979461019534
PN96_RS20950,5.9962973838275536e-5
PN96_RS08405,0.0001708519038245584
PN96_RS12535,4.889192358076286e-5
PN96_RS20655,6.836364627738878e-5
PN96_RS09515,0.0028138069560842112
PN96_RS22110,3.908855828305059e-6
PN96_RS09380,0.0006887779692568934
PN96_RS12890,0.0023676467332598267
PN96_RS13750,0.00042900792762265574
PN96_RS11760,0.0032457715413218517
PN96_RS21250,0.002284264957699516
PN96_RS14820,0.001477202524240128
PN96_RS03415,0.00014867609742888021
PN96_RS02355,0.0005111434149435768
PN96_RS02320,2.305222112389075e-6
PN96_RS03080,0.0008145201768604855
PN96_RS08610,2.2577880696343956e-7
PN96_RS12475,8.212659992004923e-6
PN96_RS12250,5.222311195666996e-7
PN96_RS18410,0.003712006432541496
PN96_RS02545,8.049273164592469e-5
PN96_RS00270,0.002102632901973935
PN96_RS05825,2.6721081116564265e-6
PN96_RS15130,8.506377661445606e-5
PN96_RS00585,0.00018168578641731054
PN96_RS00175,0.000409069429979949
PN96_RS14985,0.0019560107437787493
PN96_RS11755,0.004316491167794104
PN96_RS00265,0.002406016561226394
PN96_RS02525,0.0027648070327014494
PN96_RS05945,0.00013986124569870088
PN96_RS05370,0.004802320808805146
PN96_RS13570,0.0003446946587413953
PN96_RS15085,1.4501197389236137e-5
PN96_RS09435,0.0018139813565184741
PN96_RS12930,0.0037556674604290823
PN96_RS07900,0.00016675205965701432
PN96_RS17995,0.0002536845753573981
PN96_RS12480,2.9188064797105567e-5
PN96_RS11205,0.0029476303666210245
PN96_RS01770,0.00011099544968373574
PN96_RS15175,0.0004617042005298154
PN96_RS10615,0.00019220036880678563
PN96_RS11065,2.2859854067285072e-6
PN96_RS07875,0.00037263586917420734
PN96_RS14070,0.0016940538082525728
PN96_RS09385,0.008100915137110531
PN96_RS10725,6.624603225611799e-5
PN96_RS13585,0.00012373944336195735
PN96_RS10730,1.1816634358991175e-5
PN96_RS01130,0.00010643265348306131
PN96_RS10215,0.00015181290419002657
PN96_RS11260,0.00013961730498828528
PN96_RS04120,0.0011723923496970252
PN96_RS00180,0.003980410907955426
PN96_RS05720,0.00020005417535613065
PN96_RS02880,0.000511167015064564
PN96_RS09315,0.00027886765400589547
PN96_RS03970,1.7744256743079273e-6
PN96_RS00840,8.532152224506956e-5
PN96_RS14075,0.00012995079293707368
PN96_RS15170,0.00245345759045848
PN96_RS10220,0.00036100057208307963
PN96_RS03320,8.27840396447663e-6
PN96_RS02970,0.0015514647519321773
PN96_RS02170,0.0010390632658091306
PN96_RS01240,0.0032301129759737205
PN96_RS11440,0.0016301970980463708
PN96_RS05820,4.6475006890976306e-5
PN96_RS14980,0.0019225715664841687
PN96_RS21300,0.0012620831217838488
PN96_RS07880,0.0003761179639678348
PN96_RS13640,0.00014824657132729978
PN96_RS05685,0.0003081492128350848
PN96_RS13620,7.571358829720405e-6
PN96_RS14615,0.0001618460262973308
PN96_RS11905,0.0019253286231528677
PN96_RS02050,4.6406812157040414e-5
PN96_RS01780,7.191286069709515e-5
PN96_RS03960,0.0004888807455495725
PN96_RS13605,0.00011139353374570949
PN96_RS03965,0.0005728013245305778
PN96_RS05360,0.0003878353044289058
PN96_RS07890,0.0003595741995492303
PN96_RS12630,3.969762789410803e-5
PN96_RS02465,1.1543435442465796e-5
PN96_RS00555,0.00010026079183645284
PN96_RS14775,0.0027978471401916396
PN96_RS10965,0.00046864086014817576
PN96_RS09240,0.0005388685292494364
PN96_RS08410,0.000396100829203185
PN96_RS13345,0.005106717387502544
PN96_RS01460,0.011352809515049356
PN96_RS00950,0.00023514273675802105
PN96_RS15065,0.00010478604160418323
PN96_RS10330,0.00695817699974236
PN96_RS23400,0.00013987404786222564
PN96_RS07515,5.716953085248935e-5
PN96_RS05830,0.00040466441472860877
PN96_RS11375,7.36629024763625e-5
PN96_RS03545,0.0004764024213696128
PN96_RS01095,9.040836538970564e-6
PN96_RS10930,0.000234325730736839
PN96_RS11330,6.844847654188956e-5
PN96_RS11350,3.867776390533478e-5
PN96_RS03665,0.00021018830827057697
PN96_RS10570,0.000533178625018569
PN96_RS11355,4.9758146330654144e-5
PN96_RS18415,0.0001386085900233381
PN96_RS09630,0.012263564184037741
PN96_RS13645,1.6834969628130935e-5
PN96_RS11715,2.5440948707081265e-5
PN96_RS14405,1.0398006153542558e-6
PN96_RS03310,0.00033971784807138684
PN96_RS00515,7.874399357977236e-5
PN96_RS01390,9.58711748469097e-5
PN96_RS01365,0.028386754238786154
PN96_RS21240,0.0021605104066848646
PN96_RS11310,2.5361989483000872e-5
PN96_RS20885,0.0008307181626172183
PN96_RS09405,0.017481413198476382
PN96_RS02460,0.0001349630497267818
PN96_RS03555,0.001603597821610062
PN96_RS10090,0.004061544926769144
PN96_RS02330,0.00019696530429431464
PN96_RS05150,0.00039416732116509144
PN96_RS07630,1.485642904204126e-5
PN96_RS13595,0.002943967761109415
PN96_RS09825,8.328124179963417e-5
PN96_RS12815,6.30741366296627e-5
PN96_RS00955,9.05817242840897e-5
PN96_RS07895,0.0026564351332129805
PN96_RS00150,2.043252637435346e-5
PN96_RS10265,0.0011183746238444606
PN96_RS03955,0.0011443427415570896
PN96_RS01115,3.1288846040106654e-5
PN96_RS03410,0.0008937838330955776
PN96_RS13590,0.014261177143790528
PN96_RS00925,0.0014255554569804205
PN96_RS12730,4.83080445224416e-5
PN96_RS07785,0.00010417410398959154
PN96_RS00570,0.00016230491682760163
PN96_RS12525,0.0001235171336788198
PN96_RS09830,0.00013003277963682142
PN96_RS02160,4.8696105924198526e-5
PN96_RS03550,0.00020571795539657312
PN96_RS10960,0.000490971371322206
PN96_RS11380,4.09244419885275e-5
PN96_RS12625,5.432857751784552e-5
PN96_RS13580,0.0011997081834129702
PN96_RS18400,0.0006915867801008071
PN96_RS09395,0.004361806656057258
PN96_RS05840,6.30129405093403e-5
PN96_RS11720,0.0005273448356577996
PN96_RS08465,0.006163484269800056
PN96_RS06345,0.00015864928015283812
PN96_RS09865,3.0553961978714504e-5
PN96_RS12220,0.0003272068821721734
PN96_RS21135,0.00031796552331964404
PN96_RS04115,0.00012206112456303691
PN96_RS05935,4.273358621554649e-6
PN96_RS01120,4.07807817644626e-6
PN96_RS03220,0.0009138772738299795
PN96_RS03690,2.6176862114680644e-5
PN96_RS18175,0.003952282437207987
PN96_RS07905,0.0001226139829421549
PN96_RS15070,0.00019641037778442332
PN96_RS15000,4.429451124877605e-5
PN96_RS10515,0.00014600212580373118
PN96_RS11255,0.002310946846421804
