Reaction,Isozyme,Protein,Stoichiometry,KcatReverse,KcatForward
27626,B,PN96_RS18410,1,0.3081953129782797,0.1736083737707445
22608,A,PN96_RS02545,2,4.141002180001982,0.28525195404201553
15101,A,PN96_RS14070,2,6.1211375071672425,0.23562996097126906
33803,A,PN96_RS07900,2,0.12352316689114497,1.9360441216150153
18585,A,PN96_RS12250,2,161.06943215279796,68.37028867398006
18617,A,PN96_RS12890,1,0.6589327095657659,2.572321634551458
24400,A,PN96_RS02310,6,6.46881718603864,0.27895842377510155
28582,A,PN96_RS10630,4,0.6103964645773124,0.5537569411286287
cyt_bo,A,PN96_RS21715,1,6.230789127512851,26.34922526866237
cyt_bo,A,PN96_RS21720,1,6.230789127512851,26.34922526866237
cyt_bo,A,PN96_RS21725,1,6.230789127512851,26.34922526866237
cyt_bo,A,PN96_RS21710,1,6.230789127512851,26.34922526866237
cyt_bo,A,PN96_RS22915,1,6.230789127512851,26.34922526866237
41872,B,PN96_RS17995,4,10.014690925575287,10.969929799060354
41872,A,PN96_RS03555,4,1.2817909040934903,0.4931441649394632
21968,A,PN96_RS15070,1,0.18151220828482975,0.006318919670611707
16825,A,PN96_RS03490,4,0.23307991615898457,0.15356411159139452
23536,A,PN96_RS09435,1,2.0952143298906614,4.5944487192652606
27678,A,PN96_RS10630,4,0.047705210355986016,0.08933222197296509
41852,B,PN96_RS03565,2,0.06661566490789574,0.4339495278872811
27690,A,PN96_RS10630,4,0.07717532911018053,0.059604851567895516
18253,A,PN96_RS14960,8,1.0504504324535047,1.4809570301278157
13517,A,PN96_RS03580,2,0.03474072903750907,0.15106593371777982
16429,A,PN96_RS11365,1,0.03299968207005638,0.1397858044214165
15985,A,PN96_RS05940,1,1.5194032842208631,0.5756246969387452
15985,A,PN96_RS05945,1,1.5194032842208631,0.5756246969387452
15985,A,PN96_RS05935,1,1.5194032842208631,0.5756246969387452
23776,A,PN96_RS00270,2,0.192269243047881,0.07483604461303424
23776,D,PN96_RS11205,4,0.09020116158216007,0.03703791774760756
23776,E,PN96_RS14980,4,0.10816960371605021,1.067206618136495
12641,B,PN96_RS00950,4,1.1441843401648502,0.46349376987348867
12641,A,PN96_RS00150,4,0.20772267429556812,9.849249618562215
12821,A,PN96_RS01770,1,0.29960812710598894,0.11611648517345499
24388,A,PN96_RS16680,1,4.484813158202108,1.6571575968548942
13717,A,PN96_RS02330,2,0.1314216153342066,1.1275747442209612
14801,A,PN96_RS00920,1,12.121608165815918,11.694326891209476
13897,B,PN96_RS10960,1,1.6589256423111471,0.33096817999808925
13897,A,PN96_RS10930,2,0.13101295263356907,0.10060793356581002
nqr,A,PN96_RS02160,1,290.0041098921532,155.61054444134047
nqr,A,PN96_RS02150,1,290.0041098921532,155.61054444134047
nqr,A,PN96_RS02155,1,290.0041098921532,155.61054444134047
nqr,A,PN96_RS02170,1,290.0041098921532,155.61054444134047
nqr,A,PN96_RS02165,1,290.0041098921532,155.61054444134047
nqr,A,PN96_RS02145,1,290.0041098921532,155.61054444134047
21256,A,PN96_RS08425,1,0.10470717595467227,0.7343626590539774
17089,B,PN96_RS16775,3,1.031654246482893,1.424588539773596
17089,A,PN96_RS13230,3,0.9223276727032218,11.477943678280186
10508,B,PN96_RS18410,1,0.5275305234605425,1.3393125401455725
12605,A,PN96_RS10220,2,0.08286959624088415,0.8607044248483807
17817,A,PN96_RS02350,3,0.9529202339306521,3.994852104940672
21540,A,PN96_RS03960,1,0.11824043410097405,1.2488781443401382
19513,A,PN96_RS00585,3,11.276566617341322,6.146748230313222
40523,A,PN96_RS09415,1,1.9849757558494023,19.032321807118283
40523,A,PN96_RS09405,1,1.9849757558494023,19.032321807118283
40523,A,PN96_RS09400,1,1.9849757558494023,19.032321807118283
40523,A,PN96_RS09410,1,1.9849757558494023,19.032321807118283
15469,A,PN96_RS07880,1,0.3222952568904489,0.32046191069652813
27658,A,PN96_RS01780,1,2.093502037013201,1.2121322513013377
21432,A,PN96_RS11855,2,35.1404858255768,4.0687197999750335
12813,A,PN96_RS14285,1,0.727687681763555,4.8674488981064785
11724,A,PN96_RS15175,2,0.004845561118150973,0.029584608740753547
41812,B,PN96_RS07515,1,0.37947621544479776,0.7623476277307087
41812,A,PN96_RS20950,1,0.20621069177291404,0.5916449382688816
15901,A,PN96_RS14635,1,274.51894022214736,51.237899518268826
41928,B,PN96_RS20950,1,3.4872192987324295,0.13040627271465452
41928,A,PN96_RS07515,1,0.06143454536334658,0.36752352515573544
28438,A,PN96_RS12525,1,0.6458211259603226,0.1521708707323329
18049,A,PN96_RS14820,2,0.07892042133338831,0.4442190990532597
18133,B,PN96_RS12490,1,0.01927487177745401,0.02495263102619765
18133,B,PN96_RS11990,1,0.01927487177745401,0.02495263102619765
18133,A,PN96_RS12475,1,0.7620310870825484,0.014849720549621956
18133,A,PN96_RS11985,1,0.7620310870825484,0.014849720549621956
21732,A,PN96_RS03975,2,2.9891306398272,0.067002104675912
21732,A,PN96_RS03970,2,2.9891306398272,0.067002104675912
13925,A,PN96_RS02360,3,0.41571413372189653,0.7490529368411778
20700,A,PN96_RS08610,1,0.22752376458193754,0.558934660043028
16249,A,PN96_RS03075,2,89.64866911504348,21.68974405148183
11064,B,PN96_RS12220,2,1.4344138991712583,1.112765766461578
11064,A,PN96_RS11905,4,3.734403196918792,0.10939889565135485
H_ATPsynthase,A,PN96_RS13585,1,18.29495738924016,5.551333446520249
H_ATPsynthase,A,PN96_RS13570,1,18.29495738924016,5.551333446520249
H_ATPsynthase,A,PN96_RS13590,3,18.29495738924016,5.551333446520249
H_ATPsynthase,A,PN96_RS13600,1,18.29495738924016,5.551333446520249
H_ATPsynthase,A,PN96_RS13605,1,18.29495738924016,5.551333446520249
H_ATPsynthase,A,PN96_RS13580,2,18.29495738924016,5.551333446520249
H_ATPsynthase,A,PN96_RS13575,10,18.29495738924016,5.551333446520249
H_ATPsynthase,A,PN96_RS13565,1,18.29495738924016,5.551333446520249
H_ATPsynthase,A,PN96_RS13595,1,18.29495738924016,5.551333446520249
16169,C,PN96_RS12930,12,0.12157246982802342,1.6934619034832443
18793,A,PN96_RS01780,1,6.4308068451691955,0.19099866192544704
24825,A,PN96_RS11010,2,1.028864785039778,0.08673844491317671
41792,A,PN96_RS03550,1,0.13176357253061685,0.10620747248615323
10164,A,PN96_RS01105,2,41.43825549549705,8.676746980846378
cyt_c,B,PN96_RS05815,1,0.39396160505107497,1.183800243629128
cyt_c,B,PN96_RS05830,1,0.39396160505107497,1.183800243629128
cyt_c,B,PN96_RS05845,1,0.39396160505107497,1.183800243629128
cyt_c,B,PN96_RS05820,1,0.39396160505107497,1.183800243629128
cyt_c,B,PN96_RS05825,1,0.39396160505107497,1.183800243629128
