Protein,MassFraction
PN96_RS02955,0.0001249125224607372
PN96_RS14395,0.0029639357291568504
PN96_RS07930,3.210643546897113e-5
PN96_RS03580,2.8697947737464553e-5
PN96_RS00590,2.0243144202890256e-5
PN96_RS12490,0.001390653073336933
PN96_RS20950,2.1023909197707676e-5
PN96_RS08405,0.00018396034336912124
PN96_RS00820,3.071943641145216e-6
PN96_RS12535,5.355495335559717e-5
PN96_RS20655,3.41938206831527e-5
PN96_RS09515,0.0023488225391295648
PN96_RS22110,1.7588276474029124e-6
PN96_RS09380,0.00014143069406798704
PN96_RS13750,0.0007082925174263837
PN96_RS11760,0.0030124968891837296
PN96_RS21250,0.0007120467698639373
PN96_RS14820,0.0011724539324930374
PN96_RS03415,0.00020373852371933146
PN96_RS02355,0.0004914528481756366
PN96_RS02320,7.246536480704578e-6
PN96_RS03080,0.006597828702131399
PN96_RS08610,1.1721366795457087e-6
PN96_RS12475,2.3235737898137443e-5
PN96_RS12250,5.614854174327632e-6
PN96_RS18410,0.005115300123367624
PN96_RS02545,0.00013722858482469568
PN96_RS07840,5.906153965932237e-5
PN96_RS00270,0.0018458997331941048
PN96_RS05825,2.8686459280799465e-6
PN96_RS15130,0.00022171284119221787
PN96_RS00175,0.0007028250455943023
PN96_RS14985,0.002138425629287006
PN96_RS11755,0.003372695726703271
PN96_RS00265,0.0022890894729331473
PN96_RS02525,0.0032690414996317356
PN96_RS05945,5.054874521761599e-5
PN96_RS05370,0.010482806326130885
PN96_RS13570,0.00011948322482674974
PN96_RS15085,7.307250546251646e-6
PN96_RS09435,0.0014785091437013894
PN96_RS12930,0.0019367363062492097
PN96_RS07900,0.0001694227451119489
PN96_RS01785,2.8951728105086684e-5
PN96_RS15120,9.478183602784194e-6
PN96_RS12480,5.7955051355811615e-5
PN96_RS11205,0.0034985324533028405
PN96_RS01770,3.374457646535913e-5
PN96_RS15175,0.0006512204952345836
PN96_RS10615,0.00019848379166760178
PN96_RS11065,2.13416442489445e-6
PN96_RS07875,0.00041866594349390055
PN96_RS14070,0.002169152084457841
PN96_RS09385,0.0018241882071308405
PN96_RS10725,5.365702510590501e-5
PN96_RS13585,9.173786351033404e-5
PN96_RS10730,5.127579212738242e-5
PN96_RS01130,9.938644686086221e-5
PN96_RS10215,0.00011770778738428016
PN96_RS11260,0.00014475057312468066
PN96_RS04120,0.0009687035520140235
PN96_RS00180,0.007101044031381918
PN96_RS14510,0.0018545555894620188
PN96_RS05720,0.0002846587673003508
PN96_RS02880,0.0005604118516868714
PN96_RS09315,0.0006467642818366953
PN96_RS03970,5.296411315771748e-6
PN96_RS00840,0.00011293433954724657
PN96_RS14075,0.00021338022762728203
PN96_RS15170,0.0034118546180651904
PN96_RS10220,0.00026946643276260553
PN96_RS11710,0.0008431515369920051
PN96_RS00280,2.9712083031971597e-5
PN96_RS03320,6.363101626692128e-6
PN96_RS02970,0.0018315350545348719
PN96_RS02170,0.0008301526501601327
PN96_RS01240,0.002540010791873164
PN96_RS11440,0.0004873115941662843
PN96_RS05820,1.1654775188930788e-5
PN96_RS14980,0.0016492462997809798
PN96_RS21300,0.0011601569199182883
PN96_RS07880,0.0003998679423135465
