Reaction,Isozyme,Protein,Stoichiometry,KcatReverse,KcatForward
27626,B,PN96_RS18410,1,1.8892102848439396,6.954596328429844
22608,A,PN96_RS02545,2,2.5656794347034837,1.7219649520077864
15101,A,PN96_RS14070,2,0.3902504841507654,0.123885415256622
33803,A,PN96_RS07900,2,0.05530969597816319,0.23109728145812522
18585,A,PN96_RS12250,2,7.824520400084203,3.7886804055152146
24400,A,PN96_RS02310,6,0.6820942812826722,0.3605373130526673
41872,A,PN96_RS03555,4,4.089870765875293,12.840762435832813
21968,A,PN96_RS15070,1,0.018341762180802773,0.014841840943570295
28206,A,PN96_RS07840,4,0.045069704590632885,0.36384131690457994
23536,A,PN96_RS09435,1,0.6336580048122874,8.423859266616956
27678,A,PN96_RS10630,4,0.4981293119115642,1.1748438086660054
41852,B,PN96_RS03565,2,0.0514439927258015,0.06187471252682694
18253,A,PN96_RS14960,8,14.737295643053315,0.9803783203796946
13517,A,PN96_RS03580,2,0.12671878373534445,0.09550944401773505
16429,A,PN96_RS11365,1,0.029857395943036342,0.500112245277976
15985,A,PN96_RS05940,1,0.9208794193535442,1.4205131863569977
15985,A,PN96_RS05945,1,0.9208794193535442,1.4205131863569977
15985,A,PN96_RS05935,1,0.9208794193535442,1.4205131863569977
23776,A,PN96_RS00270,2,1.289237986244624,0.06443723778420504
23776,D,PN96_RS11205,4,0.04401634135841556,0.03293930785486414
23776,E,PN96_RS14980,4,0.19495342361002177,1.2340924552409438
12641,B,PN96_RS00950,4,10.403610481094374,3.4583121257568816
12641,A,PN96_RS00150,4,4.081187739802045,1.7750237750920135
12821,A,PN96_RS01770,1,1.4800058206444444,0.5664839016350961
24388,A,PN96_RS16680,1,5.063824234136324,4.975666237915505
13717,A,PN96_RS02330,2,0.37392172867893764,0.14151265609948493
14801,A,PN96_RS00920,1,170.21228328732198,27.081068954762458
13897,B,PN96_RS10960,1,0.0853865455211052,0.8679872406895788
13897,A,PN96_RS10930,2,0.1197417539690187,0.07964207908897154
nqr,A,PN96_RS02160,1,30.362840477783813,234.09859430696451
nqr,A,PN96_RS02150,1,30.362840477783813,234.09859430696451
nqr,A,PN96_RS02155,1,30.362840477783813,234.09859430696451
nqr,A,PN96_RS02170,1,30.362840477783813,234.09859430696451
nqr,A,PN96_RS02165,1,30.362840477783813,234.09859430696451
nqr,A,PN96_RS02145,1,30.362840477783813,234.09859430696451
21256,A,PN96_RS08425,1,0.051252734355238146,3.4363283084131133
17089,B,PN96_RS16775,3,3.9719670239887974,0.8575004992277596
17089,A,PN96_RS13230,3,0.6544248463566125,5.092891780436992
10508,B,PN96_RS18410,1,1.7669524644594983,2.3361432541110316
25298,A,PN96_RS05385,4,1.5059011389969024,0.4294838411893467
12605,A,PN96_RS10220,2,0.5775140254754724,1.5136471130929499
17817,A,PN96_RS02350,3,1.7825642812084173,3.014283835168711
21540,A,PN96_RS03960,1,0.13486051862163212,0.23396326468086673
40523,A,PN96_RS09415,1,9.464126816291675,1.4107950428412401
40523,A,PN96_RS09405,1,9.464126816291675,1.4107950428412401
40523,A,PN96_RS09400,1,9.464126816291675,1.4107950428412401
40523,A,PN96_RS09410,1,9.464126816291675,1.4107950428412401
15469,A,PN96_RS07880,1,2.0102675158535765,0.39478850389994136
27658,A,PN96_RS01780,1,1.2666067567968076,3.767453027611953
21432,A,PN96_RS11855,2,128.45647020418411,19.74400302626931
12813,A,PN96_RS14285,1,14.707138529756769,16.22331607052262
11724,A,PN96_RS15175,2,0.21130898137389262,0.004888067642759511
28370,A,PN96_RS14995,4,6.351352858892996,0.6412983685030779
15901,A,PN96_RS14635,1,8.399427625967096,34.02367075173945
41928,B,PN96_RS20950,1,2.8112547141897197,0.11142636549020331
41928,A,PN96_RS07515,1,0.19285021339352768,3.1436595220860353
28438,A,PN96_RS12525,1,1.1423918546053913,0.939340257482314
18049,A,PN96_RS14820,2,0.02599088223268906,0.019930724087034307
18133,B,PN96_RS12490,1,0.28202108794421477,0.011964478906556624
18133,B,PN96_RS11990,1,0.28202108794421477,0.011964478906556624
18133,A,PN96_RS12475,1,0.011295270823008354,0.20874881395652461
18133,A,PN96_RS11985,1,0.011295270823008354,0.20874881395652461
21732,A,PN96_RS03975,2,0.16974155145853922,0.6633807780519774
21732,A,PN96_RS03970,2,0.16974155145853922,0.6633807780519774
13925,A,PN96_RS02360,3,0.9568635416117679,0.041132066107120786
20700,A,PN96_RS08610,1,0.06013730382916824,0.5757871504434462
16249,A,PN96_RS03075,2,23.92270952717469,4.262152225724046
H_ATPsynthase,A,PN96_RS13585,1,4.229913168138902,80.93917675471182
H_ATPsynthase,A,PN96_RS13570,1,4.229913168138902,80.93917675471182
H_ATPsynthase,A,PN96_RS13590,3,4.229913168138902,80.93917675471182
H_ATPsynthase,A,PN96_RS13600,1,4.229913168138902,80.93917675471182
H_ATPsynthase,A,PN96_RS13605,1,4.229913168138902,80.93917675471182
H_ATPsynthase,A,PN96_RS13580,2,4.229913168138902,80.93917675471182
H_ATPsynthase,A,PN96_RS13575,10,4.229913168138902,80.93917675471182
H_ATPsynthase,A,PN96_RS13565,1,4.229913168138902,80.93917675471182
H_ATPsynthase,A,PN96_RS13595,1,4.229913168138902,80.93917675471182
16169,C,PN96_RS12930,12,1.2934332034759164,0.08762182142244429
18793,A,PN96_RS01780,1,0.17515410199275963,1.6452930433291482
27710,B,PN96_RS21125,1,0.12114976252708938,0.6973798655065435
27710,A,PN96_RS07930,1,0.048200341444939475,0.03803517512387595
24825,A,PN96_RS11010,2,2.8127241799957208,0.444035000520107
41792,A,PN96_RS03550,1,1.9079639558410821,0.34401083386563697
10164,A,PN96_RS01105,2,9.575165670289408,8.352967515061028
cyt_c,B,PN96_RS05815,1,0.25782348065020944,3.8596988197283655
cyt_c,B,PN96_RS05830,1,0.25782348065020944,3.8596988197283655
cyt_c,B,PN96_RS05845,1,0.25782348065020944,3.8596988197283655
cyt_c,B,PN96_RS05820,1,0.25782348065020944,3.8596988197283655
cyt_c,B,PN96_RS05825,1,0.25782348065020944,3.8596988197283655
cyt_c,B,PN96_RS05840,1,0.25782348065020944,3.8596988197283655
24152,B,PN96_RS12480,1,1.1724103485579718,0.21639965245426415
24152,A,PN96_RS11975,1,1.1082707868450243,0.16180026017604
41876,B,PN96_RS05720,2,0.39932327144849034,1.1161925915541036
41876,A,PN96_RS02355,1,1.442826358159965,8.962854447943311
11040,A,PN96_RS07890,1,1.0026570188081254,0.4539282237428836
17785,A,PN96_RS07490,1,0.065005246928706,0.09470109174178369
41920,A,PN96_RS03555,4,9.208355445672254,0.8319534542779918
14105,A,PN96_RS00840,1,7.370969784989078,3.8340009011376517
19453,A,PN96_RS09035,2,4.7367835616491165,0.11455840971910983
29359,A,PN96_RS09825,1,0.15926806632255186,0.6071103325837051
29359,C,PN96_RS01130,1,2.5575693915858966,0.4030485593087124
29359,D,PN96_RS07630,1,1.0852403885439401,3.951272604214438
13725,A,PN96_RS13610,3,1.6342626285925912,0.4662234474527072
41828,B,PN96_RS05720,2,6.1085020919435005,0.1936646827832141
41828,A,PN96_RS02355,1,0.8160414843427829,0.1520573561700015
14877,A,PN96_RS10270,4,0.0722714330600435,0.4515636686689716
10300,A,PN96_RS03080,4,0.779957003600563,1.145205969520444
31139,A,PN96_RS13345,4,0.755270009519931,0.2475984708932263
16853,A,PN96_RS07950,4,0.1427742317549394,0.04856854459539339
21524,A,PN96_RS11755,2,0.24599237405597615,2.2203289469837597
25588,A,PN96_RS08465,2,1.9417202407919818,3.8518328486255475
13245,A,PN96_RS10725,4,2.1705055133856206,1.2522368562612949
11224,A,PN96_RS20885,1,0.3133853631987322,0.25086552342162766
10228,A,PN96_RS01460,1,1.7414574514748902,2.9828395571802595
25152,A,PN96_RS04245,2,0.327214971427074,12.042965841435533
