Protein,MassFraction
PN96_RS14395,0.0022957631177913896
PN96_RS03580,2.463053854502555e-5
PN96_RS00590,1.8310441661551772e-5
PN96_RS12490,0.0008226470950593399
PN96_RS20950,9.454030855714267e-5
PN96_RS08405,0.0002277674740452012
PN96_RS12535,4.678314365907626e-5
PN96_RS07430,4.3195058043619555e-5
PN96_RS20655,4.300417818685518e-5
PN96_RS22110,3.631885754378957e-6
PN96_RS09515,0.0032335444149695983
PN96_RS09380,0.0007099350357161515
PN96_RS13750,0.0003836374071706824
PN96_RS11760,0.001584705683111192
PN96_RS21250,0.0010575390051196431
PN96_RS14820,0.0012377519367069688
PN96_RS03415,4.4287087686308225e-5
PN96_RS02355,0.0003514312501674448
PN96_RS02320,5.684360320740675e-6
PN96_RS03080,0.0006776016471730447
PN96_RS05435,0.0020673271141765635
PN96_RS08610,1.4316626820022137e-6
PN96_RS12475,1.4838550399265868e-5
PN96_RS12250,2.9437819834732827e-6
PN96_RS18410,0.005997544704167715
PN96_RS02545,7.93547922300683e-5
PN96_RS18645,2.315135000672923e-5
PN96_RS00270,0.0011342921983411595
PN96_RS05825,2.1317869266190514e-6
PN96_RS15130,7.174353640145382e-5
PN96_RS00585,0.0001236992795299429
PN96_RS00175,0.00047157653024370677
PN96_RS14985,0.0011607069733608946
PN96_RS11755,0.0020600796763473703
PN96_RS00265,0.0016642022484492887
PN96_RS02525,0.0028945447434119962
PN96_RS05945,0.00023773728184262464
PN96_RS05370,0.0038699878459680375
PN96_RS13570,0.00016825162649868847
PN96_RS05430,0.00034460270304329795
PN96_RS15085,1.693607391658523e-5
PN96_RS09435,0.0024231363512216037
PN96_RS12930,0.0012327215921187553
PN96_RS07900,6.46893860772354e-5
PN96_RS08275,0.0001340748481724812
PN96_RS17995,0.0019846338698407445
PN96_RS12480,3.302816179601561e-5
PN96_RS11205,0.0021183045066445684
PN96_RS15175,0.0004519586038516131
PN96_RS10615,0.0001472357736677247
PN96_RS11065,5.047811957488923e-6
PN96_RS07875,0.00015559280520349296
PN96_RS14070,0.0016648441496365325
PN96_RS09385,0.009095303518204373
PN96_RS10725,0.02384260050362556
PN96_RS13585,0.00011759916805710207
PN96_RS10730,0.0036153911023857274
PN96_RS10215,0.00013926262370233172
PN96_RS11260,0.0001520903147765954
PN96_RS04120,0.0010845970147661838
PN96_RS00180,0.003501690307307593
PN96_RS05720,0.00017256724393433743
PN96_RS02880,0.0004233010744124362
PN96_RS09315,0.00021156415381029935
PN96_RS03970,6.712427329592689e-6
PN96_RS00840,0.00010134623577617406
PN96_RS14075,0.00014799627191910245
PN96_RS15170,0.001800431133507503
PN96_RS10220,0.0003447088518014069
PN96_RS03320,5.239359248391187e-6
PN96_RS02970,0.0012122021628579599
PN96_RS02170,0.0011153729967276265
PN96_RS01240,0.0032837604268890898
PN96_RS11440,0.001245160961095031
PN96_RS05820,3.521427121049282e-5
PN96_RS14980,0.0007635812649487185
PN96_RS21300,0.0016052963204658429
PN96_RS07880,0.00015292017386530938
PN96_RS13640,0.00010349271876512166
PN96_RS05685,0.0001844486002668645
PN96_RS13620,6.75962704133201e-5
PN96_RS14615,0.0002013218504319127
PN96_RS11905,0.0024491781305054994
PN96_RS02050,2.562313456813434e-5
PN96_RS03960,0.00048780034663574516
PN96_RS13605,0.0001137398349004453
PN96_RS03965,0.0006363957154734027
PN96_RS05360,0.0003399391238863542
PN96_RS07890,0.0001379884745592451
PN96_RS12630,6.916572591825871e-5
PN96_RS02465,1.5261501004045974e-5
PN96_RS00555,5.962456070204888e-5
PN96_RS11815,7.566624933084781e-7
PN96_RS08560,0.0015363995676899922
PN96_RS10965,0.0005584747765690636
PN96_RS09240,0.0004075778356829685
PN96_RS14775,0.002050885272185842
PN96_RS08410,0.0004368425497229735
PN96_RS13345,0.004385971787976986
PN96_RS01460,0.029185510642934186
PN96_RS00950,0.00028814228326286365
PN96_RS15065,5.447522578529357e-5
PN96_RS10330,0.006125705859002547
PN96_RS23400,0.00016116646329388085
PN96_RS07515,2.5803088922205408e-5
PN96_RS23215,0.00039160789490260426
PN96_RS05830,0.00034246086304350444
PN96_RS11375,9.253045464724591e-5
PN96_RS03545,0.0003374049163567861
PN96_RS01095,9.695086423887467e-6
PN96_RS10930,0.00013657268732336387
PN96_RS11330,5.22583035644865e-5
PN96_RS11350,6.193502271272648e-5
PN96_RS03665,0.00020775310647754269
PN96_RS10570,0.0004610186116486212
PN96_RS11355,2.9614407908418673e-5
PN96_RS18415,0.00016041999552622406
PN96_RS09630,0.012976164301929017
PN96_RS13645,1.0243615092046053e-5
PN96_RS11715,6.360898379697015e-5
PN96_RS14405,1.4572839688326834e-6
PN96_RS03310,0.00021314232306155473
PN96_RS00515,0.00011746652462126641
PN96_RS01390,9.12862818616392e-5
PN96_RS01365,0.012200057326524275
PN96_RS21240,0.0005449145822768988
PN96_RS11310,2.40322850165077e-5
PN96_RS20885,0.0010235216281202957
PN96_RS09405,0.03780750471957838
PN96_RS02460,8.074743793274248e-5
PN96_RS03555,0.0013108988792586123
PN96_RS10090,0.0038331686297945686
PN96_RS02330,9.778971166914955e-5
PN96_RS05150,0.0002350799786105584
PN96_RS13595,0.0025839716284852
PN96_RS12815,7.084240033756502e-5
PN96_RS00955,0.00011727083801448461
PN96_RS07895,0.001057071459588915
PN96_RS00150,3.3797576337344184e-5
PN96_RS10265,0.0007841037129366915
PN96_RS03955,0.0014716670392786277
PN96_RS01115,3.415009936610349e-5
PN96_RS03410,0.0004888461636719284
PN96_RS13590,0.0130128876206711
PN96_RS00925,0.0017808057189974283
PN96_RS12730,6.501389184451989e-5
PN96_RS00570,0.0004601778021712135
PN96_RS12525,0.00016642750261578438
PN96_RS09830,0.0001343892534655337
PN96_RS02160,4.7928784396520447e-5
PN96_RS03550,0.00020261072367111008
PN96_RS10960,0.00041169372525225005
PN96_RS11380,9.154622216586384e-5
PN96_RS12625,5.924355896940121e-5
PN96_RS13580,0.0009353179967466446
PN96_RS18400,0.00039487067304131617
PN96_RS09395,0.005292154967035819
PN96_RS05840,6.028618256968463e-5
PN96_RS11720,0.0017207929935520415
PN96_RS05425,0.0001580937533888027
PN96_RS08465,0.005497785144979085
PN96_RS09865,5.2367167276033454e-5
PN96_RS12220,0.0003463938919569367
PN96_RS21135,0.0005021001125896817
PN96_RS04115,0.00012065785043209972
PN96_RS05935,2.4614685138526224e-5
PN96_RS07435,0.0001187437910231716
PN96_RS03690,3.882212167128444e-5
PN96_RS03220,0.0012110479430536992
PN96_RS18175,0.008612628559016585
PN96_RS07905,5.4361998556885294e-5
PN96_RS15070,0.00014659733000952366
PN96_RS15000,3.6672491065606456e-5
PN96_RS10515,0.0005152109988581843
PN96_RS11255,0.0026342422665233886
PN96_RS10270,3.481457197002929e-5
PN96_RS16775,1.3103294515711528e-5
PN96_RS02365,2.523961922368549e-5
PN96_RS07445,0.000299761626560234
PN96_RS09870,0.00039783902077041624
PN96_RS14635,0.0011738002128011068
PN96_RS03315,2.572681133332515e-6
PN96_RS11450,0.00033332487902854355
PN96_RS05100,4.2319769600752246e-5
PN96_RS22760,0.0006823250882932174
PN96_RS07870,0.00031844646954209786
PN96_RS09410,0.00010635388400186912
PN96_RS11200,0.0006089655965047174
PN96_RS13770,0.00010562168759552166
PN96_RS02310,0.0004619134464151974
PN96_RS21230,0.0012097859824031392
PN96_RS00575,0.0009557738293883071
PN96_RS10575,0.0014263733329753627
PN96_RS16020,6.30886802773265e-5
PN96_RS23260,0.0002910255643626659
PN96_RS08050,0.00028492480197394747
PN96_RS15005,0.0001891045138965175
PN96_RS20755,8.924115318406329e-5
PN96_RS03075,1.5922855764615696e-5
PN96_RS13755,0.0003708848001520183
PN96_RS07490,0.00017942945632829754
PN96_RS00920,0.0025322154393644775
PN96_RS08600,7.381112532995764e-5
PN96_RS13610,0.00020533411152401075
PN96_RS15010,0.000501616926369883
PN96_RS11250,0.0015332903940402083
PN96_RS14285,5.979297674415701e-5
PN96_RS02155,0.001000362278897633
PN96_RS08425,0.0005652845311261347
PN96_RS13650,0.0014281020132428457
PN96_RS02145,0.003046302842426501
PN96_RS09415,4.04334741158028e-5
PN96_RS19840,0.006118673618133228
PN96_RS11765,0.0018294129258386782
PN96_RS21805,0.00020287618188619895
PN96_RS21965,0.00048503719458139056
PN96_RS09495,0.0016868216841800033
PN96_RS13470,5.051499848900208e-5
PN96_RS21755,0.00013936532809582188
PN96_RS11975,3.0960034958338573e-5
PN96_RS01100,0.0006040521804040244
PN96_RS03300,1.6406328646775326e-5
PN96_RS01235,1.184633538635561e-5
PN96_RS03565,0.0008307881170766217
PN96_RS09420,0.0016516804086058158
PN96_RS07395,0.00047847697505168434
PN96_RS15765,0.00020505861125288873
PN96_RS19315,3.256112341728829e-5
PN96_RS17695,0.002481269745064405
PN96_RS02150,0.0023673209811024116
PN96_RS07375,0.00015751569351903858
PN96_RS14960,5.92544641204502e-5
PN96_RS01375,0.0029129505544915352
PN96_RS02380,0.00021286128871323947
PN96_RS02360,0.0001255116366273957
PN96_RS11445,0.00024231431666617352
