Reaction,Isozyme,Protein,Stoichiometry,KcatReverse,KcatForward
27626,B,PN96_RS18410,1,0.17559820296147025,3.018873018617752
22608,A,PN96_RS02545,2,0.5723703702147072,0.6726379170153869
15101,A,PN96_RS14070,2,4.9613288921972,0.5671731743426078
26522,A,PN96_RS05435,1,1.6836193279191578,0.24959333349669233
33803,A,PN96_RS07900,2,2.4134245671736423,0.20811469104451782
18585,A,PN96_RS12250,2,5.968681570450083,6.4841796589653375
24400,A,PN96_RS02310,6,0.23193519219748415,0.3975306058965788
28582,A,PN96_RS10630,4,0.11443525959493533,1.6204783225411155
41872,B,PN96_RS17995,4,0.7537671253898668,1.2264849826345676
41872,A,PN96_RS03555,4,0.9693841601827342,3.232875498440726
21968,A,PN96_RS15070,1,0.006054210795356727,0.03948432615848648
23536,A,PN96_RS09435,1,0.2532908375449702,1.9871119258906675
27678,A,PN96_RS10630,4,0.8472507170475867,0.42712910652796865
41852,B,PN96_RS03565,2,0.012993722207731012,0.02003692130541151
27690,A,PN96_RS10630,4,3.37155230365614,0.3423282014190069
18253,A,PN96_RS14960,8,8.685517088282454,0.35147097805039657
13517,A,PN96_RS03580,2,0.6334287757787936,0.05730195421018996
16429,A,PN96_RS11365,1,1.8070536541597997,0.5131177571207605
15985,B,PN96_RS23110,1,0.8018132975408909,0.7950865344841768
15985,B,PN96_RS05940,1,0.8018132975408909,0.7950865344841768
15985,B,PN96_RS05935,1,0.8018132975408909,0.7950865344841768
15985,A,PN96_RS05940,1,0.09340162870252203,1.043805211906808
15985,A,PN96_RS05945,1,0.09340162870252203,1.043805211906808
15985,A,PN96_RS05935,1,0.09340162870252203,1.043805211906808
15985,C,PN96_RS05940,1,3.703751739760507,0.38003029619152934
15985,C,PN96_RS21445,1,3.703751739760507,0.38003029619152934
15985,C,PN96_RS05935,1,3.703751739760507,0.38003029619152934
23776,A,PN96_RS00270,2,1.565581638092367,0.022925033464475768
23776,D,PN96_RS11205,4,0.7801556837522253,0.4697486800415243
23776,E,PN96_RS14980,4,0.6646161196723662,0.024313841293549184
12641,B,PN96_RS00950,4,1.7924729703613627,0.7033975365475408
