Protein,MassFraction
PN96_RS02955,0.00018753916247359295
PN96_RS14395,0.002163840659513801
PN96_RS03580,2.1723799753454706e-5
PN96_RS00590,1.7366077639889553e-5
PN96_RS12490,0.0012612878231459195
PN96_RS20950,1.7946695479929934e-5
PN96_RS08405,0.0004653803803776243
PN96_RS12535,4.200217877993859e-5
PN96_RS09515,0.001022754550161719
PN96_RS22110,4.668714895342045e-6
PN96_RS09380,0.00011158765387886415
PN96_RS12890,3.2278002686626764e-5
PN96_RS13750,0.0005656226407030526
PN96_RS11760,0.0029825193876075228
PN96_RS14820,0.002223129679747155
PN96_RS03415,0.00017023969367073135
PN96_RS02355,0.00035593062467707533
PN96_RS02320,4.275372712626123e-6
PN96_RS03080,0.007554745439186531
PN96_RS08610,2.3872874271475834e-6
PN96_RS12475,2.504358309619893e-5
PN96_RS12250,5.316173843110148e-6
PN96_RS18410,0.0038100386202051004
PN96_RS02545,0.00013979201130798593
PN96_RS07840,2.5005352808444496e-5
PN96_RS00270,0.0028755067821995463
PN96_RS15130,0.00017908516212655442
PN96_RS05825,6.840636798677857e-7
PN96_RS00175,0.0004507591102777351
PN96_RS14985,0.0027527341470293724
PN96_RS11755,0.0037075193611365185
PN96_RS00265,0.002556084161407497
PN96_RS02525,0.0046612491293870385
PN96_RS05370,0.014115796429424999
PN96_RS13570,3.4657927417049824e-5
PN96_RS15085,8.322658743124349e-6
PN96_RS09435,0.0010652550711395797
PN96_RS12930,0.0017430766694573007
PN96_RS07900,0.00020617030667401527
PN96_RS15120,1.2532876154722553e-5
PN96_RS17995,0.00020278911084977257
PN96_RS12480,4.354264182413026e-5
PN96_RS11205,0.003697278060717732
PN96_RS01770,0.0001480160897195165
PN96_RS15175,0.00043237436283654696
PN96_RS10615,0.00015997951029731393
PN96_RS11065,5.178352895963968e-6
PN96_RS07875,0.00046054819592442964
PN96_RS14070,0.0025279105753930535
PN96_RS09385,0.0014505633043528847
PN96_RS10725,0.00030102717904764795
PN96_RS13585,3.779831125179944e-5
PN96_RS10730,0.00027481595362393956
PN96_RS01130,9.626859983488919e-5
PN96_RS10215,9.125042719835656e-5
PN96_RS11260,0.00013608574797195608
PN96_RS04120,0.0007876268540058423
PN96_RS00180,0.0037986120130931817
PN96_RS05720,0.00033303137530062415
PN96_RS02880,0.0007085364374759266
PN96_RS03970,9.476810827326632e-6
PN96_RS00840,0.00011761852116217194
PN96_RS14075,0.00023361181193435907
PN96_RS15170,0.001371364614023117
PN96_RS10220,0.0002368279215492375
PN96_RS11710,0.0008138915257534477
PN96_RS00280,4.6429314224793075e-5
PN96_RS03320,5.194483527969772e-6
PN96_RS02970,0.0018600079542661992
PN96_RS02170,0.0003451347295891433
PN96_RS01240,0.003115397439690455
PN96_RS04860,7.558593677406566e-6
PN96_RS11440,0.0002047593066482613
PN96_RS05820,1.850078403780906e-6
PN96_RS14980,0.0013891887042339526
PN96_RS21300,0.0024664079666049856
PN96_RS07880,0.00044786433912121393
PN96_RS13640,0.00018224039424956896
PN96_RS05685,0.0002843955565732175
PN96_RS13620,1.8019366568203666e-5
PN96_RS18765,3.3892427982984774e-7
PN96_RS14615,0.000267701153160667
PN96_RS11905,0.0005100844443434113
PN96_RS01780,7.245945545810301e-5
PN96_RS03960,0.0008350101395225474
PN96_RS13605,4.0852623097816786e-5
PN96_RS03965,0.001183239867633428
PN96_RS05360,0.0007347254896805059
PN96_RS07890,0.0003907371137889715
PN96_RS12630,6.629231097660732e-5
PN96_RS02465,1.726430500381847e-5
PN96_RS23265,0.0001268599935972482
PN96_RS00555,6.127814061816438e-5
PN96_RS11815,2.8578787234794166e-6
PN96_RS14775,0.0017595665232874212
PN96_RS10965,0.0018159266421122853
