Protein,MassFraction
PN96_RS14395,0.002732943255719572
PN96_RS03580,3.89756140730822e-5
PN96_RS00590,2.0225712639098066e-5
PN96_RS12490,0.000909931794569721
PN96_RS20950,6.167112800653475e-5
PN96_RS08405,0.0003127304829304245
PN96_RS12535,5.5701658909358025e-5
PN96_RS20655,4.188074887941963e-5
PN96_RS09515,0.0019348136863016592
PN96_RS22110,5.537365594860081e-6
PN96_RS09380,0.0007002667811141436
PN96_RS12890,0.0028125921749052236
PN96_RS13750,0.0003801589434626837
PN96_RS11760,0.00245701065997464
PN96_RS21250,0.0008069549058356247
PN96_RS14820,0.0014353278431314704
PN96_RS03415,5.885255047512276e-5
PN96_RS02355,0.00010847662340027834
PN96_RS02320,8.22494906096248e-6
PN96_RS03080,0.0024287745437367187
PN96_RS05435,0.0005662240037223048
PN96_RS08610,2.627206553077255e-6
PN96_RS12475,2.1168432849229707e-5
PN96_RS14975,0.0006055475841075552
PN96_RS12250,1.0879486544554175e-5
PN96_RS18410,0.010083458260008516
PN96_RS02545,8.167893079846698e-5
PN96_RS18645,5.664357325603736e-5
PN96_RS00270,0.0016487017205721822
PN96_RS05825,1.3690519336039059e-6
PN96_RS15130,0.00011540550549187227
PN96_RS00585,0.00010452887461558492
PN96_RS00175,0.0005136482866446652
PN96_RS14985,0.0014119364873257888
PN96_RS11755,0.0037398548350352618
PN96_RS00265,0.002339874519133947
PN96_RS02525,0.003000395248841551
PN96_RS05945,0.00018412932336796936
PN96_RS05370,0.004726227770178283
PN96_RS13570,0.0001349180341431514
PN96_RS05430,6.880888687698661e-5
PN96_RS15085,1.5099347915107442e-5
PN96_RS09435,0.002240807221341453
PN96_RS12930,0.0011256885140943633
PN96_RS07900,0.00019677178378039125
PN96_RS15120,1.1207441736934755e-5
PN96_RS17995,0.0009591437146478691
PN96_RS12480,4.4659470233434636e-5
PN96_RS11205,0.004176452583131139
PN96_RS01770,0.0002104851634213724
PN96_RS15175,0.0004149176278890293
PN96_RS10615,0.00018791597218335184
PN96_RS11065,6.912245836435044e-6
PN96_RS07875,0.0003036562024026349
PN96_RS14070,0.0017820762951744487
PN96_RS09385,0.009654570297013004
PN96_RS10725,6.732265952497014e-5
PN96_RS13585,0.00010942038415045361
PN96_RS10730,2.1493054247026463e-5
PN96_RS01130,8.769648861527612e-5
PN96_RS10215,0.0001756461318165314
PN96_RS11260,0.0001815321728063648
PN96_RS04120,0.0008578801941690259
PN96_RS00180,0.0032145814822855828
PN96_RS05720,0.00028020378922150816
PN96_RS02880,0.00044581962272099274
PN96_RS09315,0.0002896818803356265
PN96_RS03970,7.2104512303381535e-6
PN96_RS00840,0.00015516006654478804
PN96_RS14075,0.00014897774760296636
PN96_RS15170,0.0022806350478099193
PN96_RS10220,0.0002878529361204694
PN96_RS00280,0.0001391091022868232
PN96_RS03320,3.0519667996607002e-6
PN96_RS02970,0.0014268755535559099
PN96_RS02170,0.0009850686425471235
PN96_RS01240,0.0022574423639785558
PN96_RS04860,7.258472889595266e-6
PN96_RS11440,0.0008478281149820944
PN96_RS05820,6.605945602298469e-5
PN96_RS14980,0.0016589268688533144
PN96_RS21300,0.0021633342570091967
PN96_RS07880,0.0002828098382741865
PN96_RS13640,0.00014350785514320288
PN96_RS05685,0.0003111994721865878
PN96_RS13620,4.1297467149297145e-5
PN96_RS18765,1.644988206208533e-6
PN96_RS14615,0.00017834858297074402
PN96_RS11905,0.0020011261136905854
PN96_RS02050,2.46693790376053e-5
PN96_RS01780,8.930893580167978e-5
PN96_RS03960,0.00025506423527108766
PN96_RS13605,0.0001316092017748398
PN96_RS03965,0.0003450981796516005
PN96_RS05360,0.00032170148570068093
PN96_RS07890,0.00027786193562589833
PN96_RS12630,4.9115602303847096e-5
PN96_RS02465,2.7552992166555778e-5
PN96_RS00555,9.716902889297545e-5
PN96_RS14775,0.0022930709792093797
PN96_RS08560,0.0015732334449116356
PN96_RS10965,0.00041407083948946676
PN96_RS09240,0.00027952175189259774
PN96_RS08410,0.00062029641693862
PN96_RS13345,0.005857415466816451
PN96_RS01460,0.012061181523269722
PN96_RS00950,0.00033455478368196577
PN96_RS15065,7.92650042746676e-5
PN96_RS10330,0.005830816131517795
PN96_RS23400,0.0001502860473091887
PN96_RS07515,3.019218925726046e-5
PN96_RS23215,0.00028553081672978714
PN96_RS05830,0.00030266854526905156
PN96_RS11375,8.012365616223276e-5
PN96_RS03545,0.00038446281601722164
PN96_RS01095,1.3415294560743162e-5
PN96_RS10930,0.0002259552684290839
PN96_RS11330,3.929306902631374e-5
PN96_RS11350,0.00012712482164399153
PN96_RS03665,0.00023455202396461175
PN96_RS10570,0.00045176484435406763
PN96_RS11355,7.526339701098397e-5
PN96_RS18415,0.0005013502778341482
PN96_RS09630,0.012411864587752
PN96_RS13645,3.5193771139160373e-5
PN96_RS11715,4.293958596704623e-5
PN96_RS03310,0.0003036193006645434
PN96_RS00515,0.00013729141213057465
PN96_RS01390,0.00011558654085533388
PN96_RS01365,0.015055075317309692
PN96_RS21240,0.00045143207139477663
PN96_RS11310,4.976558086912128e-5
