Reaction,Isozyme,Protein,Stoichiometry,KcatReverse,KcatForward
27626,B,PN96_RS18410,1,2.7632332960949695,7.486258052757802
22608,A,PN96_RS02545,2,1.7440662236539952,2.882577998376591
15101,A,PN96_RS14070,2,0.1602173744479959,3.793437129638687
26522,A,PN96_RS05435,1,0.2148109432749529,0.41514553034250223
33803,A,PN96_RS07900,2,2.363873127547812,0.49314697944724484
18585,A,PN96_RS12250,2,25.276405830338643,5.879895186253526
18617,A,PN96_RS12890,1,0.07090170608760603,0.03994162896397935
24400,A,PN96_RS02310,6,1.3387659126185814,0.7091817424183404
28582,A,PN96_RS10630,4,1.4098961256267462,0.3155059948053037
cyt_bo,A,PN96_RS21715,1,8.249877540201542,14.760839623864717
cyt_bo,A,PN96_RS21720,1,8.249877540201542,14.760839623864717
cyt_bo,A,PN96_RS21725,1,8.249877540201542,14.760839623864717
cyt_bo,A,PN96_RS21710,1,8.249877540201542,14.760839623864717
cyt_bo,A,PN96_RS22915,1,8.249877540201542,14.760839623864717
41872,B,PN96_RS17995,4,0.24382130614560604,0.710636278542913
41872,A,PN96_RS03555,4,2.6301326142198094,13.966255385436703
21968,A,PN96_RS15070,1,0.19811504035058786,0.013692609277544303
23536,A,PN96_RS09435,1,3.9880995261653274,5.48402774163407
27678,A,PN96_RS10630,4,1.2420355956487428,0.5907688731323117
41852,B,PN96_RS03565,2,0.6569919195114091,0.41127573308874893
27690,A,PN96_RS10630,4,0.7225038708197874,1.5820433433465573
18253,A,PN96_RS14960,8,2.409624143979137,1.0085879159598865
13517,A,PN96_RS03580,2,0.383121789276022,0.022526246647741947
16429,A,PN96_RS11365,1,0.5596238350559535,0.06260915951863387
15985,B,PN96_RS23110,1,1.5077519529449825,0.12751349151701744
15985,B,PN96_RS05940,1,1.5077519529449825,0.12751349151701744
15985,B,PN96_RS05935,1,1.5077519529449825,0.12751349151701744
15985,A,PN96_RS05940,1,1.4769487167381035,0.3202672338249342
15985,A,PN96_RS05945,1,1.4769487167381035,0.3202672338249342
15985,A,PN96_RS05935,1,1.4769487167381035,0.3202672338249342
15985,C,PN96_RS05940,1,0.19549779980494908,0.37253707249183515
15985,C,PN96_RS21445,1,0.19549779980494908,0.37253707249183515
15985,C,PN96_RS05935,1,0.19549779980494908,0.37253707249183515
