Protein,MW,Length
PN96_RS15185,41.09207453999995,372
PN96_RS24000,5.768944039999999,51
PN96_RS15190,50.206251439999946,466
PN96_RS15195,47.01869173999998,404
PN96_RS15200,19.800657540000014,177
PN96_RS15205,81.93006444000018,726
PN96_RS15210,31.86448504000002,272
PN96_RS15215,40.27706964,348
PN96_RS15220,46.12598333999993,412
PN96_RS15225,33.59690564000001,277
PN96_RS15230,39.13659823999999,343
PN96_RS15235,46.9558251399999,435
PN96_RS15240,14.490039840000016,129
PN96_RS15245,12.608367140000002,108
PN96_RS15250,22.625553140000015,199
PN96_RS15255,37.603936739999945,344
PN96_RS15260,23.46690504,205
PN96_RS15265,31.15854894000001,291
PN96_RS15270,24.25076844000002,216
PN96_RS15275,15.86277124000001,150
PN96_RS15280,12.836657540000017,116
PN96_RS15285,48.538110139999944,438
PN96_RS15290,51.40963423999991,474
PN96_RS15295,50.95817183999995,474
PN96_RS15300,44.71678033999997,395
PN96_RS15305,63.16216593999991,578
PN96_RS15310,35.56667913999998,316
PN96_RS15315,68.27371593999987,608
PN96_RS15320,77.45535734000003,698
PN96_RS15325,28.454847740000012,261
PN96_RS15330,34.85293834000001,309
PN96_RS15335,69.71333923999991,655
PN96_RS15340,32.24945164000001,281
PN96_RS15345,50.013929940000004,446
PN96_RS15350,62.87512153999988,573
PN96_RS15355,19.45218704000002,190
PN96_RS15360,25.334244440000013,218
PN96_RS15365,25.555511440000025,222
PN96_RS15370,7.6335773399999995,66
PN96_RS15375,35.56766203999999,318
PN96_RS15380,34.93463424000002,308
PN96_RS15385,18.238957440000004,158
PN96_RS15390,37.469231739999984,334
PN96_RS15395,70.50651974000003,623
PN96_RS15400,60.734277639999874,547
PN96_RS15405,27.91200754000001,249
PN96_RS15410,31.69259694000002,287
PN96_RS15415,32.65311614,310
PN96_RS15420,28.783906740000006,273
PN96_RS15425,59.893129540000054,547
PN96_RS15430,50.42825553999991,447
PN96_RS15435,8.551514440000002,81
PN96_RS15440,33.74616783999998,308
PN96_RS15445,54.79002653999989,471
PN96_RS15450,30.551238640000033,271
PN96_RS15455,36.25961043999998,316
PN96_RS15460,25.713614739999997,236
PN96_RS15465,56.11064163999991,489
PN96_RS15470,56.831848839999964,494
PN96_RS15475,60.01725693999988,527
PN96_RS15480,14.935176340000012,125
PN96_RS15485,41.982328139999964,377
PN96_RS15490,19.679419140000025,182
PN96_RS15495,44.025204539999955,393
PN96_RS15500,31.700852540000003,284
PN96_RS15505,27.556764640000004,256
PN96_RS15510,18.51487354000001,166
PN96_RS15515,37.39369823999998,325
PN96_RS15520,10.190818240000002,91
PN96_RS15525,27.682660540000004,244
PN96_RS15530,87.90563144000029,786
PN96_RS15535,19.076667240000006,165
PN96_RS15540,76.08630113999997,677
PN96_RS15545,33.115835739999994,299
PN96_RS15550,59.03487023999989,563
PN96_RS15555,41.448816839999935,380
PN96_RS15560,13.032016440000008,115
PN96_RS15565,42.19517883999993,367
PN96_RS15570,26.02597144000001,239
PN96_RS15575,16.475008040000017,145
PN96_RS15580,7.651639340000001,70
PN96_RS15585,7.536756940000003,66
PN96_RS15590,37.72633963999998,343
PN96_RS15595,43.18426293999999,397
PN96_RS15600,87.88743784000017,774
